Zipcode ID,Census Year,WA Zipcode,Median Household Income,Income Per Capita,Population
186,2020,98639,73145,35424,855
187,2020,98665,69524,33641,27260
188,2020,98007,101847,54729,28147
189,2020,98239,71121,40130,7679
190,2020,98380,95443,37253,4296
191,2020,98223,83116,39163,46027
192,2020,98512,78845,39300,30833
193,2020,99161,76625,39605,1278
194,2020,98232,88551,46984,4259
195,2020,98023,82566,35647,50176
196,2020,98092,96121,40607,48962
197,2020,98310,58636,31882,20431
198,2020,98349,73308,33668,5090
199,2020,98467,76904,38669,15381
200,2020,98311,80439,34501,28042
201,2020,98226,67142,35045,45380
202,2020,98922,61071,35616,7630
203,2020,98675,78047,32262,7604
204,2020,98277,61373,31514,38844
205,2020,98445,70241,30262,31973
206,2020,98620,48522,26674,7670
207,2020,98339,53239,29506,3277
208,2020,98220,88446,30359,839
209,2020,99169,52827,28446,2663
210,2020,98592,68371,30606,1740
211,2020,98360,89732,36703,14084
212,2020,98588,60781,45785,1489
213,2020,98333,125547,62108,3613
214,2020,98422,97106,43053,21732
215,2020,98936,78920,26586,6981
216,2020,98363,60147,30303,14295
217,2020,98146,80633,37947,27622
218,2020,98387,80272,30912,51305
219,2020,98664,67007,34096,23601
220,2020,99218,53125,29938,17417
221,2020,98261,63143,42841,2808
222,2020,98826,61470,36720,7624
223,2020,98158,-666666666,-666666666,0
224,2020,98648,63750,30052,3207
225,2020,99301,66678,26959,81583
226,2020,98408,58961,29821,20670
227,2020,98597,73664,30721,24968
228,2020,98855,38933,22366,6033
229,2020,99019,98453,46638,12244
230,2020,98340,64750,52252,3421
231,2020,98245,55160,47955,3767
232,2020,99204,41678,30756,7010
233,2020,98358,57083,43149,943
234,2020,99360,81029,32068,1569
235,2020,99216,50586,27658,26166
236,2020,98942,70660,33574,17454
237,2020,99217,62906,32018,18073
238,2020,98424,78243,33472,11524
239,2020,98264,72397,32390,21337
240,2020,98520,50022,24473,24936
241,2020,98303,62440,40050,1571
242,2020,98243,72560,39824,548
243,2020,98346,95103,46140,9273
244,2020,98377,39229,22963,1845
245,2020,98405,60255,31566,23671
246,2020,99201,27398,29079,13256
247,2020,98284,69994,31978,26268
248,2020,98014,118808,58563,7200
249,2020,98418,60649,31966,9644
250,2020,98371,81699,39767,21764
251,2020,98528,60415,29950,12812
252,2020,99004,58343,29338,21189
253,2020,98541,52029,26674,10858
254,2020,98403,61863,43146,8169
255,2020,98359,82870,37359,5065
256,2020,98252,84257,36940,9993
257,2020,98823,70472,29102,11740
258,2020,98642,97288,42545,20920
259,2020,98557,57589,25532,3384
260,2020,98248,71164,31368,26552
261,2020,98375,89202,30458,32349
262,2020,98148,70050,36668,11514
263,2020,98188,64206,34505,25292
264,2020,98043,80738,39711,21328
265,2020,98409,57922,28717,27918
266,2020,98660,50407,35430,12305
267,2020,98362,53743,30337,24997
268,2020,98249,76614,54443,4458
269,2020,98576,69033,30344,5196
270,2020,98944,48041,17122,24949
271,2020,98582,-666666666,36582,94
272,2020,99114,51875,27422,12866
273,2020,98019,142064,56247,11841
274,2020,99207,42913,21140,31020
275,2020,99027,63750,35744,5985
276,2020,98856,50625,31228,2612
277,2020,98328,90636,37249,10763
278,2020,99003,62477,35916,4110
279,2020,98569,47399,28269,6444
280,2020,98671,91505,42644,23116
281,2020,98365,74818,47617,4816
282,2020,99320,64547,28087,9696
283,2020,99403,53663,30220,20707
284,2020,98051,94453,40290,4386
285,2020,98626,59058,28680,25366
286,2020,99118,46563,25370,794
287,2020,99203,78655,47737,21359
288,2020,98244,42324,27376,3483
289,2020,99350,59536,27260,14208
290,2020,98354,76582,36200,7551
291,2020,98548,51198,29897,1989
292,2020,99353,105115,38196,16376
293,2020,98057,57598,40889,11534
294,2020,98816,56582,31852,6005
295,2020,98338,83394,34918,28999
296,2020,98577,59603,27325,7235
297,2020,98606,105417,45381,9203
298,2020,98850,52094,21074,1688
299,2020,98499,50037,27500,32174
300,2020,98257,70278,41485,4430
301,2020,99171,57917,27774,1018
302,2020,99021,72160,33945,9441
303,2020,98550,46622,27193,11307
304,2020,99006,59400,27663,13397
305,2020,99123,54493,27876,992
306,2020,98325,49313,27400,1321
307,2020,99323,69828,29997,4192
308,2020,98848,64893,22460,12427
309,2020,98629,100275,38238,8761
310,2020,98940,-666666666,76287,445
311,2020,98631,46186,27798,3055
312,2020,99181,52802,28160,1788
313,2020,98625,92770,43424,6516
314,2020,98337,55433,33678,7223
315,2020,98342,72955,42509,1276
316,2020,98862,59349,38985,2605
317,2020,98321,102135,43753,15976
318,2020,98563,63328,35005,7691
319,2020,99206,61615,30547,40510
320,2020,99328,65260,39441,3718
321,2020,98394,106190,51397,1331
322,2020,98570,65161,27244,4189
323,2020,99022,76775,30534,8718
324,2020,98276,73583,25993,713
325,2020,98531,45972,25495,26212
326,2020,98294,69458,31609,7310
327,2020,98650,61964,32666,1144
328,2020,98644,24821,25103,481
329,2020,98610,58574,25395,3199
330,2020,99005,103420,39115,9770
331,2020,98262,75294,51172,955
332,2020,99025,73021,33571,5510
333,2020,98612,56250,28920,3201
334,2020,99037,67189,36519,14589
335,2020,99036,123664,52427,1794
336,2020,98815,61672,31828,7210
337,2020,98603,61875,29947,961
338,2020,98537,60735,27892,2487
339,2020,98624,51786,30504,1889
340,2020,98568,60179,29860,2492
341,2020,98315,66736,22924,6825
342,2020,98645,79821,30983,1962
343,2020,98596,64896,36030,7579
344,2020,98253,81165,42461,1726
345,2020,98589,70040,31934,6955
346,2020,99357,53654,18625,4438
347,2020,98134,71607,33071,779
348,2020,98240,80474,37827,2934
349,2020,98433,44064,18387,20137
350,2020,99324,52403,30080,9739
351,2020,98651,107188,57718,1031
352,2020,98601,85000,29363,3266
353,2020,98605,71458,30271,1089
354,2020,98581,29960,23605,424
355,2020,98235,-666666666,25889,54
356,2020,98937,67170,30606,4354
357,2020,98050,142316,71594,523
358,2020,98640,49600,31014,4774
359,2020,98279,54107,43200,693
360,2020,99344,53328,19605,18400
361,2020,99170,54063,26657,1022
362,2020,98068,97607,63389,497
363,2020,99166,43730,29874,3022
364,2020,99133,41319,25733,1674
365,2020,99109,50953,29340,4948
366,2020,98361,41763,28521,696
367,2020,98946,59000,51675,454
368,2020,98903,56754,27152,15404
369,2020,98828,69362,33222,2046
370,2020,99341,58482,23961,687
371,2020,98932,59208,25407,5442
372,2020,99185,71477,34544,1299
373,2020,98591,64919,33110,3411
374,2020,98948,53108,17003,12601
375,2020,99330,65735,20105,1157
376,2020,98381,80952,34264,266
377,2020,99130,59444,24792,855
378,2020,99147,70208,44209,159
379,2020,99156,59333,29663,8755
380,2020,99134,35333,26014,531
381,2020,98047,64942,26677,7012
382,2020,98164,240573,130056,200
383,2020,98542,53250,18041,1080
384,2020,99347,56298,28301,2304
385,2020,98351,51109,34416,1619
386,2020,99326,72959,16981,6666
387,2020,98320,50711,29506,1357
388,2020,98288,50625,38941,225
389,2020,99029,77500,37792,1009
390,2020,98266,35274,15918,4014
391,2020,99115,54722,22931,1298
392,2020,98617,57772,30729,1138
393,2020,98950,-666666666,,33
394,2020,98844,43306,23042,4428
395,2020,98831,52070,27145,3529
396,2020,98841,48829,25786,9335
397,2020,98812,47717,17087,5227
398,2020,99343,55828,19961,3037
399,2020,98858,62645,33029,1838
400,2020,98614,40323,31770,142
401,2020,98251,73293,35438,4084
402,2020,98851,47643,23878,4783
403,2020,98947,51776,16132,3266
404,2020,99349,60500,20290,9184
405,2020,99101,58125,33026,1419
406,2020,99148,60195,37757,2057
407,2020,98331,40513,24446,6228
408,2020,98951,49238,19681,13473
409,2020,98638,49929,27433,1489
410,2020,98376,67773,35623,2176
411,2020,99402,54250,34638,1597
412,2020,98925,57031,56809,477
413,2020,99011,60133,20356,3464
414,2020,98438,-666666666,25206,610
415,2020,98647,-666666666,16563,256
416,2020,98555,56000,43202,243
417,2020,98832,50625,24583,230
418,2020,98857,42591,20586,3534
419,2020,99122,58482,27717,4338
420,2020,98635,50134,28339,1586
421,2020,99141,54957,30232,5898
422,2020,98586,45446,24328,1763
423,2020,98421,-666666666,28880,1346
424,2020,98840,50788,23610,4571
425,2020,98830,51771,30376,492
426,2020,98846,66622,28130,1317
427,2020,98295,80121,26389,2884
428,2020,99119,54565,30815,1294
429,2020,98304,55556,25609,1029
430,2020,99009,60469,27589,4423
431,2020,98323,84038,38280,757
432,2020,99030,66375,39130,905
433,2020,99018,50000,22484,279
434,2020,98834,61111,51131,234
435,2020,98241,45089,27373,1941
436,2020,98564,45109,29033,2394
437,2020,99034,-666666666,10503,88
438,2020,98439,38415,19808,5260
439,2020,98849,44632,21529,1216
440,2020,98547,42532,28742,1420
441,2020,99173,43627,18638,1577
442,2020,98616,64250,31398,103
443,2020,99125,44875,24907,603
444,2020,99138,39107,22371,1084
445,2020,98814,53298,30531,739
446,2020,98396,82031,41057,749
447,2020,99111,55696,29821,4202
448,2020,98952,47837,15764,2125
449,2020,99167,56818,33106,710
450,2020,98357,48250,21286,1638
451,2020,99116,58819,35130,1672
452,2020,98286,66667,63020,181
453,2020,98267,-666666666,17093,262
454,2020,98224,46250,32316,243
455,2020,99031,75653,34567,1270
456,2020,98585,53125,33033,630
457,2020,98590,90898,36573,491
458,2020,98670,25417,20081,37
459,2020,98938,60199,19567,2178
460,2020,98593,46850,20100,1232
461,2020,98934,51364,26725,995
462,2020,99023,119107,58028,641
463,2020,98833,69615,29847,137
464,2020,99137,36250,24796,357
465,2020,99126,62672,15677,1019
466,2020,98305,-666666666,21756,349
467,2020,98621,61979,38091,309
468,2020,99159,53242,29910,1403
469,2020,99180,47583,28846,1065
470,2020,98314,-666666666,27787,3270
471,2020,98355,-666666666,25035,846
472,2020,98526,55417,23163,198
473,2020,98649,54087,25594,860
474,2020,98538,52813,24661,378
475,2020,98533,53894,29729,451
476,2020,99135,60000,27265,374
477,2020,99361,68125,36038,1795
478,2020,99008,45208,41183,470
479,2020,99032,61484,31766,698
480,2020,99033,60368,28375,927
481,2020,98572,63523,25434,925
482,2020,99013,47500,18130,1856
483,2020,98562,-666666666,,49
484,2020,98263,97813,43159,49
485,2020,98619,48889,33026,613
486,2020,99113,62308,31593,600
487,2020,98385,88625,36973,362
488,2020,98326,40753,23341,840
489,2020,98283,75165,28092,350
490,2020,98530,50417,18724,608
491,2020,98535,-666666666,24290,614
492,2020,98583,41964,23175,97
493,2020,98845,46875,21976,266
494,2020,99121,-666666666,30447,327
495,2020,99110,55341,24536,1724
496,2020,98575,63958,26913,122
497,2020,99356,61042,24678,165
498,2020,98297,31875,24906,66
499,2020,99129,37019,19336,671
500,2020,98943,47697,28166,1032
501,2020,98613,68500,30734,407
502,2020,99012,59375,25167,1006
503,2020,99017,33750,16688,131
504,2020,98641,-666666666,,22
505,2020,98536,-666666666,25179,61
506,2020,98587,39821,17065,784
507,2020,98643,86458,32468,355
508,2020,98853,-666666666,,14
509,2020,98527,39375,25036,227
510,2020,98560,86467,55618,104
511,2020,99131,60179,37053,218
512,2020,99348,64243,28400,1538
513,2020,98336,64712,23218,824
514,2020,98935,50956,15555,4398
515,2020,99179,71375,40047,458
516,2021,98901,49430,24402,31873
517,2021,98237,64383,31428,4474
518,2021,98201,65192,37184,30669
519,2021,98021,137534,60030,34359
520,2021,98203,88271,39898,36164
521,2021,98275,109738,57159,21409
522,2021,98236,85303,45005,6184
523,2021,98221,82638,49368,22707
524,2021,98516,85437,42772,26336
525,2021,98837,64347,30259,45729
526,2021,98579,83718,34191,13440
527,2021,98233,69572,35112,16615
528,2021,98271,90081,40023,29120
529,2021,98037,92357,38827,28938
530,2021,98026,104672,53437,39340
531,2021,99026,89226,38469,8521
532,2021,98502,78647,41756,35954
533,2021,98087,90749,38057,41958
534,2021,98125,82439,51315,43386
535,2021,98001,95605,40232,35297
536,2021,98115,128443,72682,53729
537,2021,98020,102266,74784,18594
538,2021,98260,87722,51016,5979
539,2021,98503,71964,34670,42023
540,2021,98501,84353,40217,46170
541,2021,98208,92578,40325,60087
542,2021,98296,152585,57641,27032
543,2021,98312,71163,36352,31762
544,2021,98036,85407,41851,41132
545,2021,98204,59506,30350,42496
546,2021,98902,51122,23964,45913
547,2021,98908,71908,34023,38936
548,2021,99163,33227,24269,34815
549,2021,99205,60676,29684,43901
550,2021,98392,73125,38473,3231
551,2021,98272,101637,39244,31517
552,2021,98382,62909,40732,30366
553,2021,98345,-666666666,48216,270
554,2021,98513,94038,41183,36117
555,2021,98038,124164,49236,37624
556,2021,98270,89380,37360,52756
557,2021,98031,89882,37992,41464
558,2021,98155,109731,52501,36081
559,2021,98370,92607,45083,33071
560,2021,98290,113108,50326,38516
561,2021,98052,149492,73284,75765
562,2021,98029,144880,79032,31480
563,2021,98632,55275,32268,50944
564,2021,98406,89659,50097,22708
